# libraries: 813, DXBC blobs: 2153, unique identifiers: 1596
# files	total	name
64	142	c_per_object
63	114	frame_history_invalidation
63	484	vista_water_height
63	221	OSGNh
63	269	__tex_vrs_mask_shader_read
63	141	use_object_camera_transform
62	110	dynamic_dof_lookup
62	137	hud_curve_amount
61	484	clouds_enabled
61	484	distant_weather_effects_color
60	480	water_enabled
60	479	ripple_res
60	479	ripple_displacement
60	181	time_of_day_overrides_enabled
59	107	__samp_input_texture6
59	107	__tex_input_texture6
59	181	sun_direction
58	106	__tex_input_texture7
58	106	__samp_input_texture7
58	476	wind_generator_min_intensity
58	476	wind_generator_max_intensity
56	95	ISGNl
56	95	OSGNl
55	473	water_bending_enabled
55	176	mie_height
55	176	atmosphere_light_color
55	176	fog_dustiness
55	176	fog_enabled
55	176	fog_light_pollution
55	176	atmosphere_saturation
55	176	mie_beta
55	176	fog_color
55	176	c_atmosphere_common
55	176	rayleigh_beta
55	176	fog_light_ambient_intensity
55	176	mie_tint_hax
55	176	fog_sun_intensity
55	176	fog_shadow_intensity
55	176	fog_ambient_during_transition_color_boost
55	176	fog_backscatter_phase
55	176	fog_parameters
55	176	atmosphere_light_direction
55	176	fog_backscatter_lerp
55	176	fog_forwardscatter_phase
55	110	noesis_opacity
54	105	bloom_threshold_offset_falloff
54	108	exposure
54	468	wind_generator_direction
53	101	__tex_current_exposure
53	104	exposure_auto_enabled
53	53	__tex_pattern
53	53	__samp_pattern
52	467	water_deep_tint
52	467	water_shallow_tint
52	250	__samp_clamp_point
52	52	scissor_mode
52	52	scissor_rect
51	100	input_texture6_size
51	100	sharpen_amount
51	100	night_amount
51	465	ssr_enabled
51	465	water_murkyness
51	465	water_opacity
51	465	ssao_enabled
51	465	terrain_emissive_enabled
51	465	ao_min_to_multiply_factor
51	465	terrain_emissive_light_intensity_multiplier
51	465	caustics_intensity
51	465	ao_enabled
50	99	lens_quality_properties
50	100	inv_input_texture2_size
49	98	vignette_properties
49	98	saturation
49	98	vignette_enabled
49	97	screen_effect_buffer
49	97	vignette_color
48	96	tonemap_e
48	96	tonemap_b
48	96	__samp_screen_effect_data_texture
48	96	tonemap_a
48	96	camera_band_amount
48	96	motion_blur_enabled
48	96	tonemap_c
48	96	dof_enabled
48	96	__samp_input_texture8
48	96	desaturate_highlight_hue_delta_huea
48	96	tonemap_d
48	96	dof_enabled_se
48	96	dof_desaturation
48	96	__tex_input_texture8
48	96	desaturate_highlight_amount
48	96	motion_blur_enabled_se
48	96	sunset_amount
48	96	__tex_screen_effect_data_texture
48	139	sun_angular_size
48	139	lightsource_angular_size
48	139	sun_color
46	238	__samp_clamp_linear
46	128	DXBCE
46	119	cloud_height_mult
46	119	cloud_start_height
46	119	c_cloud_start_stop
45	144	SHEXP
44	45	__tex_input_texture2
44	44	linear_fade_offsets
44	44	clip_box
43	44	__samp_input_texture2
43	43	atlas_scissor
41	236	__tex_gbuffer1
40	62	uav1
40	189	__tex_water_height
39	219	__tex_gbuffer2
38	55	RDEFd
37	205	__tex_gbuffer3
36	36	desaturate
36	36	__tex_diffuse_map
36	36	__samp_diffuse_map
35	51	__tex_input_texture3
34	50	__samp_input_texture3
34	34	edge_fade_offset
34	34	clip_center
34	34	distortion_strength
34	34	edge_fade_tint
34	34	threshold_fade
34	34	distortion_grain_speed
34	34	clip_distance
33	33	ench
33	33	rwal
33	41	DXBCH
32	33	SHEXT
32	130	dword
31	47	__tex_input_texture4
31	181	__tex_gbuffer0
30	46	__samp_input_texture4
30	123	__tex_water_patch
30	30	ISGNd
29	152	__tex_lighting_heightmap
28	33	RDEFX
27	35	ISGNL
26	57	SHEXx
26	26	__samp_glyphs
26	26	__tex_glyphs
25	114	__samp_water_patch
25	35	RDEFx
25	148	__tex_generated_terrain_emissive
25	35	DXBCm
24	40	uav2
24	110	__tex_water_bending
24	50	SV_InsideTessFactor
24	50	PCSG
24	50	SV_TessFactor
24	146	__tex_ssao_buffer
24	120	Element
24	48	uav3
23	62	__tex_brdf_lut
23	79	__tex_light_probe_space_specular
23	34	RDEFH
23	27	OSGND
22	33	SHEXh
22	43	aces
22	43	aces_mid_point
22	43	aces_slope
22	43	aces_min_point
22	43	aces_coefs_low
22	43	aces_max_point
22	43	aces_coefs_high
22	22	shadow_offset
22	22	shadow_color
22	142	cs_cluster_size_in_pixels
22	142	cs_cluster_sizes
22	142	cs_cluster_max_depth_inv_max_depth
22	142	clustered_shading_data
22	138	__tex_hdr_ssr
22	142	cs_cluster_buffer
22	142	cs_camera_view_proj
22	142	cs_light_shadow_matrices_size
22	142	cs_shadow_atlas_size
22	142	cs_light_data_size
22	142	cs_cluster_data_size
22	145	__tex_gbuffer_emissive
22	142	cs_active
22	72	__tex_volumetric_clouds_shadows_final
22	72	__samp_volumetric_clouds_shadows_final
21	64	__tex_volumetric_clouds_weather_current
21	144	__tex_generated_terrain_emissive_direction
21	134	__tex_specular_brdf_lut
21	141	cs_light_index_data_size
21	64	__samp_volumetric_clouds_weather_current
20	44	input_texture3_size
20	25	SHEXd
20	20	__tex_image
20	20	__samp_image
20	24	SHEX0
19	20	input_texture0
19	19	__tex_msdf_texture
19	19	__samp_msdf_texture
19	19	px_range
19	19	sharpness
19	19	c_cubemap
19	43	__samp_light_probe_space_specular
19	26	SHEXp
18	36	__tex_spline_lut
18	36	__samp_spline_lut
18	103	__tex_global_specular_map
18	50	RDEFp
17	17	face_index
17	28	fog_filtering
17	108	__tex_global_diffuse_map
17	178	ambient_only_visualization
17	17	main_steps
17	17	star_count
17	17	c_space_probe_backdrop
17	17	space_backdrop_distance_scale
17	30	SHEX8
17	19	RDEFL
16	32	pcg_hue_shift
16	32	pcg_contrast
16	32	pcg_shadows
16	32	pcg_highlights_balance
16	32	pcg_midtones_balance
16	32	pcg_midtones
16	32	pcg_exposure
16	32	pcg_mixer_green_to_red
16	32	pcg_shadows_end
16	32	pcg_mixer_red_to_red
16	32	pcg_shadows_balance
16	32	pcg_mixer_red_to_blue
16	32	pcg_mixer_green_to_blue
16	32	pcg_mixer_blue_to_red
16	32	pcg_highlights_end
16	32	pcg_highlights
16	32	pcg_mixer_green_to_green
16	32	pcg_shadows_start
16	32	pcg_tint
16	32	pcg_temperature
16	32	pcg_mixer_red_to_green
16	32	pcg_mixer_blue_to_green
16	32	pcg_mixer_blue_to_blue
16	32	color_grading_cloudy_new_math_enabled
16	32	pcg_saturation
16	32	pcg_highlights_start
16	21	SHEXH
16	47	cloud_noise_offset
16	55	output_target_size
16	26	heightmap_ao_near_fade
16	26	heightmap_ao_intensity
16	26	heightmap_ao_near_fade_distance
16	26	heightmap_ao_falloff
16	26	heightmap_disk_size
16	26	heightmap_ao_clamp
16	26	heightmap_ao_angle_falloff
16	26	heightmap_ao_bias
16	26	heightmap_ao_height_fade
15	95	__tex_ies_lookup
15	95	cs_light_data_buffer
15	95	__samp_ies_lookup
15	95	__tex_local_lights_shadow_atlas
15	95	cs_light_shadow_matrices_buffer
15	15	star_magnitudes
15	15	realtime_update_stars
15	15	skydome_rotation_row0
15	15	skydome_rotation_row2
15	15	skydome_rotation_row1
15	15	star_generation_seed
15	15	star_temperatures
15	15	__tex_generated_world_height_projection
15	82	shadow_bias_slice2
15	82	vp_max_slice3
15	82	vp_max_slice1
15	82	lighting_data
15	82	vp_max_slice0
15	82	shadow_bias_slice0
15	82	sun_enabled
15	82	vp_min_slice0
15	82	vp_min_slice1
15	82	shadow_bias_slice3
15	82	shadow_bias_slice1
15	82	shadow_depth_bias_slice3
15	82	shadow_scale_slice3
15	82	shadow_depth_bias_slice0
15	82	_Fpl
15	82	shadow_scale_slice1
15	82	shadow_scale_slice0
15	82	__tex_sun_shadow_map
15	82	vp_min_slice2
15	82	shadow_scale_slice2
15	82	shadow_depth_bias_slice1
15	82	shadow_rotation
15	82	vp_min_slice3
15	82	shadow_depth_bias_slice2
15	82	sun_shadows_enabled
15	82	vp_max_slice2
14	62	__samp_local_lights_shadow_atlas
14	94	cs_light_index_buffer
14	14	__tex_linear_depth_mip6
14	14	__samp_linear_depth_mip6
14	14	__samp_ramps
14	14	__tex_ramps
14	38	RDEF0
14	14	SHEXt
13	25	RDEFD
13	17	RDEF4
13	14	SHEXD
13	13	debug_space
13	93	lighting_tiles1
13	14	RDEF8
13	75	__samp_sun_shadow_map
12	12	RDEFh
12	12	shadow_range
12	42	__tex_atmospheric_scattering_color
12	42	__samp_atmospheric_scattering_transmittance
12	35	__samp_volumetric_cloud_noise_combined
12	35	__tex_volumetric_cloud_noise_combined
12	42	__tex_atmospheric_scattering_transmittance
12	24	__samp_volumetric_clouds_color
12	42	__samp_atmospheric_scattering_color
12	24	__tex_volumetric_clouds_color
12	12	upsample_space_backdrop
12	12	DXBCp
12	12	SHEXl
12	27	__samp_linear_depth
12	12	__tex_input_texture5
12	12	__samp_input_texture5
11	19	OSGNL
11	28	DXBCF
11	83	lighting_tiles0
11	52	hdr0
11	12	RDEFT
11	11	_mat
11	17	OSGNt
11	21	__tex_volumetric_fog_3d_image
11	21	__samp_volumetric_fog_3d_image
11	11	RDEFl
10	10	__tex_hdr0_div4_fullres
10	10	__samp_hdr0_div4_fullres
10	10	shadow_softness
10	10	black_hole_on_version
10	19	cloud_coverage
10	19	c_clouds
10	19	sun_step_length_multiplier
10	19	cloud_step_length
10	19	cloud_speed
10	19	cloud_density_multiplier
10	19	cloud_detail_noise_offset
10	14	SHEX4
10	10	cubemap_frame_history_invalidation
10	56	__samp_far_shadows
10	56	__tex_far_shadows
9	14	ripple_speed
9	21	__samp_wrap_anisotropic
9	9	ISGNH
9	9	star_intensity
9	9	black_hole_rotation_radians
9	9	black_hole_pos
9	9	black_hole_rotation_axis
9	9	reprojection_drag
9	9	mip_roughness
9	9	scissor_rect_offsets
9	9	glow_range
9	9	glow_alpha_mul
9	9	glow_color
9	13	planet_atmosphere_planet_position
9	13	planet_atmosphere_planet_size
9	33	input_texture2_size
8	8	__tex_combined_fog_volumes_color_density
8	8	__samp_combined_fog_volumes_color_density
8	11	__tex_combined_fog_volumes_parameters
8	11	__samp_combined_fog_volumes_parameters
8	12	__samp_water_height
8	10	__tex_generated_heightmap
8	10	__samp_generated_heightmap
8	15	radius
8	64	lighting_counter
8	11	__tex_far_shadows_volume
8	11	__samp_far_shadows_volume
8	11	input_texture1_size
8	32	__samp_local_lights_shadow_atlas_cmp
8	12	__tex_depth_stencil_buffer
8	8	skybox_effect_skydome_object_layering
8	8	__samp_lighting_heightmap
7	8	RDEFt
7	19	__samp_volumetric_clouds_depth_prev_current_frame
7	19	__tex_volumetric_clouds_depth_prev_current_frame
7	8	SV_DEPTH
7	14	camera_ray_origin
7	14	mouse_pos
7	14	camera_ray_direction
7	14	local_camera_up
7	14	local_camera_dir
7	14	falloff
7	14	strength
7	13	indexed_material
7	14	use_brush_texture
7	7	num_mips
7	7	mip_spd
7	7	atomic_buffer
7	7	num_groups
7	16	cloud_beer
7	16	cloud_in_vs_outscatter
7	16	c_lighting
7	16	cloud_ambient_minimum
7	11	__samp_depth_stencil_buffer
7	16	cloud_outscatter
7	16	cloud_inscatter
7	16	cloud_color
7	16	cloud_absorption_ambient
7	16	cloud_global_event_color
7	16	RDEFP
7	10	__samp_volumetric_cloud_detail_noise_combined
7	10	__tex_volumetric_cloud_detail_noise_combined
7	7	skybox_effect_tiler_move_speed
7	7	planet_atmosphere_enabled
7	7	__tex_skybox_effect_texture
7	7	skybox_effect_distortion_weights
7	7	c_skybox_effect_parameters
7	7	skybox_effect_sphere_mask_power_high
7	7	skybox_effect_parallax_amount
7	7	skybox_effect_sphere_mask_amount
7	7	skybox_effect_smoothstep_speed
7	7	skybox_effect_smoothstep_input_range
7	7	__samp_skybox_effect_texture
7	7	__tex_noise_array
7	7	skybox_effect_parallax_big_wave_factor
7	7	skybox_effect_wave_tiling
7	7	skybox_effect_color0
7	7	skybox_effect_up_fade_amount
7	7	skybox_effect_smoothstep_time_offset
7	7	skybox_effect_distortion_tiling_multipliers
7	7	skybox_effect_wave_exponent
7	7	skybox_effect_sphere_mask_power
7	7	skybox_effect_sphere_mask_distortion
7	7	skybox_effect_tiler_pulsating_speed
7	7	skybox_effect_distortion_tiling
7	7	skybox_effect_rotate_speed
7	7	skybox_effect_color2
7	7	skybox_effect_tiler_blend_multiply_add_masked
7	7	skybox_effect_exponent
7	7	skybox_effect_color1
7	7	skybox_effect_wave_move_speed
7	7	__samp_noise_array
7	7	skybox_effect_wave_distortion_multiplier
7	7	skybox_effect_sphere_mask_power_low
7	7	skybox_effect_smoothstep_mask
7	7	skybox_effect_intensity
7	7	skybox_effect_directionality
7	7	skybox_effect_sphere_mask_height
7	7	skybox_effect_tiler_distortion_multiplier
7	7	skybox_effect_direction
7	7	skybox_effect_up_fade_exponent
7	7	skybox_effect_parallax_big_wave_amount
7	7	skybox_effect_sphere_flattening
7	7	skybox_effect_distortion_move_speed
7	7	skybox_effect_smoothstep_range
7	7	skybox_effect_movement_speed_multiplier
7	7	skybox_effect_tiler_tiling
7	7	skybox_effect_parallax_factor
7	7	flare_light_direction
7	13	DXBC7
7	7	__samp_shadow
7	7	__tex_shadow
6	16	cubemap_inv_view
6	16	cubemap_inv_view_proj
6	16	cubemap_view
6	16	cubemap_proj
6	16	cubemap_view_proj
6	16	cubemap_context_camera
6	6	__samp_secondary_map
6	6	__tex_secondary_map
6	6	WX62sW
6	12	height
6	6	outline_alpha_mul
6	6	outline_distance
6	6	outer_outline_distance
6	6	outline_color
6	6	px_offset
6	6	shadow_alpha_mul
6	88	fake_space_light_direction
6	88	fake_space_light_color
6	11	Kx4U
6	15	far_scatter_height_blend_fade_distance
6	11	imp_buffer2
6	11	imp_buffer0
6	11	imp_buffer1
6	11	imp_buffer3
6	15	far_scatter_density_mult
6	15	far_scatter_index_density_bias
6	9	__samp_volumetric_cloud_current_weather_map
6	9	__tex_volumetric_cloud_current_weather_map
6	6	DXBC5
6	6	__tex_fog_volume_particle_texture
6	6	__samp_fog_volume_particle_texture
6	6	DXBCu
5	9	world_view_proj
5	5	CjtNFen
5	5	near_environment_particles_indirection
5	25	__tex_mdr4_tmp
5	5	nten
5	5	ship_hub_probe_lerp
5	5	__tex_ship_hub_specular_lerp_from_array
5	5	__samp_ship_hub_specular_lerp_to_array
5	5	c_ship_hub_probe_bake
5	5	__tex_ship_hub_specular_lerp_to_array
5	5	__samp_ship_hub_specular_lerp_from_array
5	10	uv_flip
5	10	inverse_terrain_wtm
5	10	replay_brush_pos
5	10	replay_layer_value
5	5	height_sample
5	10	part_of_replay_stroke
5	10	terrain_size
5	5	output
5	10	mask_idx
5	5	__tex_brush_texture
5	5	__samp_brush_texture
5	5	__tex_outside_map_vista_heightmap
5	5	__samp_outside_map_vista_heightmap
5	5	far_environment_particles_indirection
5	6	DXBCT
5	5	__samp_generated_world_height_projection
5	6	SHEXL
5	40	__tex_sss_lut
5	5	realtime_cubemap_current_side
5	5	near_environment_particles_parameters
5	5	near_environment_particles_position_size
5	5	near_environment_particles_color_opacity
5	10	noesis_radialGrad0
5	10	noesis_radialGrad1
5	10	DXBCw
5	9	DXBCk
5	5	__tex_global_lens_dirt_map
5	5	__samp_global_lens_dirt_map
5	5	conic_gradient_n
5	5	conic_gradient_stops
5	5	int4
5	5	c_noesis_conic_gradient
5	11	input_texture2
5	12	DXBCU
5	5	c_noesis_crossfade
5	5	crossfade_weight
5	13	__samp_sun_shadow_map_cmp
5	5	far_environment_particles_position_size
5	7	DXBCZ
4	4	vrs_mask
4	4	vrs_mask_shader_read
4	4	vrs_is_edge_threshold
4	4	vrs_mask_history
4	4	vrs_reprojection_usage
4	4	vrs_use_fine_rate_threshold
4	4	vrs_reprojection_bias
4	6	DXBCd
4	4	__tex_generated_terrain_albedo
4	4	ambient_diffuse_tint
4	4	__samp_generated_terrain_albedo
4	8	DXBCNk
4	4	DXBCf
4	8	__tex_volumetric_clouds_color_probe
4	8	__tex_volumetric_clouds_depth_probe
4	4	__samp_high_altitude_clouds_color_probe
4	4	__tex_high_altitude_clouds_color_probe
4	8	__samp_high_altitude_clouds_color
4	8	__tex_high_altitude_clouds_color
4	8	__samp_volumetric_clouds_color_probe
4	24	c_atmosphere_present
4	8	__samp_volumetric_clouds_depth_probe
4	11	DXBCQ
4	4	cubemap_mip_levels
4	4	DXBC0
4	5	imp_map
4	5	gbuffer1
4	7	hdr1
4	4	height_at_start
4	8	space_sun_light_color
4	78	xAff
4	36	__tex_ship_hub_specular_array
4	4	SHEXX
4	10	high_altitude_cloud_smudge_offset
4	5	__tex_far_fog
4	10	high_altitude_cloud_coverage_offset
4	10	__tex_volumetric_current_high_altitude_weather_map
4	10	high_altitude_atmosphere_light_color
4	10	__samp_volumetric_current_high_altitude_weather_map
4	10	high_alt_cloud_coverage
4	10	c_high_alt_clouds
4	10	high_alt_cloud_sharpness
4	5	__samp_far_fog
4	10	__samp_volumetric_current_high_altitude_clouds
4	10	high_altitude_cloud_offset
4	10	__tex_volumetric_current_high_altitude_clouds
4	10	high_alt_cloud_shadow_total_distance
4	10	high_alt_shadow_intensity
4	6	DXBC2
4	7	pAff6
4	4	DXBC8
4	5	DXBC3
4	4	__tex_space_probe_backdrop
4	4	__samp_space_probe_backdrop
4	4	heightmap_ao_enabled
4	4	input_texture1
4	9	DXBCb
4	5	DXBCS
4	4	vista_environment_particles_position_size
4	4	vista_environment_particles_parameters
4	13	clamp_linear
4	4	sun_flare_scale
4	4	__tex_sun_flare_visibility_lookup_sum
4	4	c_lens_flare_common
4	4	__samp_sun_flare_visibility_lookup_sum
4	4	sun_light_color
4	4	flare_ghosts_scale
4	4	flare_ghosts_intensity
4	4	sun_flare_intensity
4	4	c_wounds
4	7	temporary_last_inv_view
4	7	temporary_inv_view
4	4	terrain_displacement_map
4	11	ui_brightness
4	4	terrain_emissive_fog_intensity_multiplier
4	7	DXBC4
4	4	monochrome_color
4	4	c_noesis_monochrome
4	7	object_density_validation_move_around
4	8	SV_InstanceID
3	3	ambient_diffuse_ground_bounce_tint
3	3	terrain_deformation_scissor_offset
3	3	near_environment_particles_camera_dist
3	6	DXBCL
3	11	__tex_water_caustics
3	3	replace_water_with_material_height_offset
3	3	replace_water_with_material_water_submerge_offset
3	3	DXBCG
3	3	far_environment_particles_camera_dist
3	4	DXBCl
3	5	DXBCC
3	5	scatter_tiler_lookup
3	5	__samp_deformable_terrain_mask
3	5	__tex_deformable_terrain_mask
3	3	__samp_far_fog_div4_clouds
3	9	KiS1
3	3	__tex_far_fog_div4_clouds
3	6	c_raymarch
3	3	SHEXpp
3	10	DXBCc
3	27	mdr4_tmp
3	24	glitch_amount
3	24	screen_brightness
3	24	confusion_rota_rots_cr
3	24	glitch_distortionamount
3	24	concussion_ro_ri_gh
3	24	mirror_screen
3	24	glitch_grid_size
3	24	concussion_amount
3	24	confusion_ro_ri_gh
3	24	confusion_amount
3	3	sun_flare_visibility_lookup
3	3	heathaze_amount
3	4	input_texture4_size
3	4	anamorphic_bloom_tint_night_level2
3	4	anamorphic_bloom_tint_level0
3	4	input_texture7_size
3	4	lens_flare_bloom_level_weights_night
3	4	bloom_level_weights_cont
3	4	lens_flare_lens_dirt_amount
3	4	input_texture5_size
3	4	bloom_tint
3	4	lens_flare_bloom_level_weights
3	3	__tex_sun_flare_image
3	4	bloom_lens_dirt_exponent
3	4	lens_flare_bloom_tint1
3	3	__samp_sun_flare_image
3	4	lens_flare_bloom_tint0
3	4	bloom_lens_dirt_amount
3	4	bloom_tint_night
3	4	bloom_level_weights_night_cont
3	4	anamorphic_bloom_tint_night_level0
3	4	anamorphic_bloom_tint_level2
3	3	__samp_sun_flare_visibility_lookup
3	3	__tex_sun_flare_visibility_lookup
3	4	bloom_level_weights
3	4	bloom_level_weights_night
3	4	anamorphic_bloom_tint_level1
3	4	anamorphic_bloom_tint_night_level1
3	5	planet_positions
3	3	wounds_512
3	3	DXBCP
3	3	DXBCOn
3	3	Z7_8
3	3	__samp_noise_texture
3	3	__tex_noise_texture
3	3	wounds_256
3	4	input_texture0_base_size
3	3	volumetric_fog_3d_image_tmp
3	3	c_atmosphere_fog_calculate
3	5	DXBCx
3	3	DXBCv
3	5	DXBCK
3	3	wind_generator_offset
3	4	DXBCo
3	5	dof_circular_amount
3	3	__samp_generated_terrain_emissive
3	3	DXBCX
3	7	sun_light_direction
3	6	ui_blur_sigma
3	4	linear_depth
3	5	histogram
3	9	exposure_max_log_luma
3	9	exposure_min_log_luma
3	3	DXBCt
3	5	motion_blur_amount
3	5	motion_blur_amount_multiplier
2	2	DXBCW
2	3	DXBCB
2	2	c_fog_of_war
2	4	DXBC_
2	2	__tex_mind_scramble_texture
2	2	__samp_mind_scramble_texture
2	2	mind_scramble_opacity
2	2	__tex_water_rt
2	2	__samp_water_rt
2	2	nebula_dust_scale
2	2	space_probe_backdrop
2	2	__tex_space_star_lut
2	2	bake_index
2	2	__samp_emissive_nebula_lut
2	2	shadow_density
2	2	debug_nebula
2	2	nebula_dust_density
2	2	star_clearance_scale
2	2	nebula_generation_seed
2	2	shadow_step_dither
2	2	shadow_step_length
2	2	__tex_cosmic_dust_lut
2	2	__samp_cosmic_dust_lut
2	2	steps_dither
2	2	realtime_update_nebula
2	2	nebula_distortion_scale
2	2	shadow_steps
2	2	nebula_dust_cuttoff
2	2	nebula_distortion_intensity
2	2	nebula_macro_scale
2	2	__tex_emissive_nebula_lut
2	2	far_shadows_volume
2	4	hologram_separate_grid
2	4	hologram_position
2	4	hologram_wp_to_real_wp2
2	4	hologram_lower_upper_bounds_fade
2	4	hologram_no_fade_distance
2	4	hologram_wp_to_real_wp3
2	4	hologram_fade_power
2	4	hologram_overlay_color
2	4	hologram_wp_to_real_wp1
2	4	hologram_wp_to_real_wp0
2	4	c_hologram_common
2	4	hologram_lower_upper_bounds
2	4	hologram_distortion_factor
2	4	hologram_sphere
2	7	DXBCh
2	2	space_star_lut_tmp
2	4	__samp_scatter_albedo_opacity_array
2	4	__samp_scatter_lookup
2	4	__tex_scatter_rsh_array
2	4	__tex_scatter_normal_array
2	4	__tex_scatter_lookup
2	4	__samp_scatter_subsurface_array
2	4	__samp_scatter_normal_array
2	4	__samp_scatter_rsh_array
2	4	__tex_scatter_albedo_opacity_array
2	4	__tex_scatter_subsurface_array
2	2	far_shadows
2	2	__tex_outside_map_vista_heightmap_frequency_map
2	2	__samp_outside_map_vista_heightmap_frequency_map
2	2	wounds_indirection_256
2	2	wounds_indirection_512
2	2	ao_falloff
2	2	ao_offset
2	2	ao_bias
2	2	ao_radius
2	2	ao_intensity
2	2	weather_map_lerp
2	3	DXBCCuK
2	2	SHEXxf
2	2	__tex_vista_cloud_subsurface_atlas
2	4	vista_cloud_color
2	2	__tex_vista_cloud_atlas
2	2	__samp_vista_cloud_atlas
2	2	__samp_vista_cloud_subsurface_atlas
2	3	DXBCa
2	2	sun_flare_visibility_lookup_sum
2	2	heathaze_distortion_properties
2	4	local_start_pos
2	4	inner_radius
2	4	local_end_pos
2	2	lut_index
2	2	wounds_object_space_lookup_512
2	2	__samp_wound_lut_to_add
2	2	__tex_wound_lut_to_add
2	2	generated_materials
2	2	scatter_lookup
2	2	character_id
2	2	regen_amount
2	2	wound_dt
2	2	__samp_road_direction_target
2	2	__tex_road_direction_target
2	2	generated_heightmap_slope
2	2	cloud_shadows_enabled
2	2	cloud_shadows_density_offset
2	2	cloud_shadows_opacity
2	2	cloud_shadows_density
2	2	output_rt
2	4	enxi
2	2	near_environment_particles_velocity
2	2	near_ground_fog_noise_amount
2	2	__samp_volumetric_fog_3d_image_history
2	2	__tex_volumetric_fog_3d_image_history
2	2	fog_noise_amount
2	2	near_ground_fog_color
2	2	near_ground_fog_height
2	2	volumetric_fog_3d_reprojection_history
2	2	near_ground_fog_density
2	2	near_ground_fog_curve
2	3	DXBCO
2	2	hdr0_fullres
2	2	cubemap_space_motion_mat2
2	2	cubemap_space_motion_mat0
2	2	cubemap_space_motion_mat1
2	2	dynamic_dof_current
2	2	ISG1
2	2	OSG1
2	2	SHEX4v
2	2	c_lens_flare
2	2	DXBCvf
2	3	DXBCz
2	2	wounds_object_space_lookup_256
2	2	wind_generator_ridged_octaves
2	2	wind_generator_lacunarity
2	2	wind_generator_frequency
2	2	wind_generator_inverted_ridges
2	2	wind_generator_persistence
2	2	wind_generator_octaves
2	2	wind_generator_amplitude
2	2	gradient_tr
2	2	gradient_tl
2	2	gradient_info
2	2	gradient_bl
2	2	gradient_br
2	5	DXBCn
2	2	__tex_wind_vector_field
2	2	__samp_wind_vector_field
2	2	debug_object_positions
2	2	space_probe_backdrop_tmp
2	6	atmosphere_size_scale_mult_spaceplanet
2	6	rayleigh_beta_spaceplanet
2	6	planet_atmosphere_nr_sample_steps
2	6	c_planet_atmosphere_space
2	6	mie_beta_spaceplanet
2	6	planet_atmosphere_nr_sun_steps
2	6	rayleigh_tint_hax_spaceplanet
2	2	wounds_queue_512
2	2	wounds_queue_256
2	2	scatter_slot
2	4	terrain_wtm
2	4	brush_type
2	4	brush_color
2	2	space_star_lut
2	2	__samp_generated_heightmap_f
2	2	__tex_generated_heightmap_f
2	2	volumetric_clouds_weather_current
2	2	high_alt_volumetric_clouds_weather_current
2	2	dof_weights
2	2	generated_heightmap_source
2	2	generated_heightmap
2	2	dof_focal_distance
2	2	dof_focal_near_scale
2	2	dof_focal_region_end
2	2	dof_focal_near_max
2	2	dof_focal_region_start
2	2	dof_focal_region
2	2	dof_focal_far_scale
2	2	dof_focal_far_max
2	2	noise_speed
2	2	diffuse_intensity
2	2	noise_tiling
2	2	uv_mapping_techniques
2	5	exposure_offset_up
