# Helldivers 2 structural resource inventory
# Read with filediver v0.7.40 -lf '%T\t%N' against the retail install, 2026-08-15.
# Types with >1000 members (wwise_stream, physics, unit, animation, texture, material)
# are summarised in the type histogram below rather than listed in full;
# the faction unit roster IS listed, because that is the part the notes argue from.

## type histogram (all 26,514 resources)
    16666 wwise_stream
ragdoll_profile	content/fac_cyborgs/cha_soldier/cha_soldier_rocket
ragdoll_profile	content/fac_cyborgs/equipment/attachment/lieutenant_flag/lieutenant_flag
ragdoll_profile	content/fac_cyborgs/vehicles/cyborg_assault_walker/cyborg_assault_walker
ragdoll_profile	content/fac_cyborgs/vehicles/cyborg_dropship/cyborg_dropship
ragdoll_profile	content/fac_cyborgs/vehicles/cyborg_gunship/cyborg_gunship
ragdoll_profile	content/fac_cyborgs/vehicles/cyborg_siege_engine/cyborg_siege_engine_sarcophagus
ragdoll_profile	content/fac_cyborgs/vehicles/cyborg_spawner/cyborg_spawner
ragdoll_profile	content/fac_cyborgs/vehicles/cyborg_walker_scout/cyborg_walker_scout
ragdoll_profile	content/fac_helldivers/cha_avatar/avatar_helldiver
ragdoll_profile	content/fac_helldivers/equipment/backpacks/belt_fed_grenade_launcher_backpack/belt_fed_grenade_launcher_backpack_hose
ragdoll_profile	content/fac_helldivers/equipment/backpacks/heavy_flamethrower_backpack/heavy_flamethrower_hose
ragdoll_profile	content/fac_helldivers/equipment/backpacks/minigun_backpack/minigun_backpack_hose
ragdoll_profile	content/fac_helldivers/fp_cha_avatar/fp_cha_avatar
ragdoll_profile	content/fac_helldivers/vehicles/combat_walker/combat_walker
ragdoll_profile	content/fac_illuminate/cha_beamer_champion/cha_beamer_champion
ragdoll_profile	content/fac_illuminate/cha_corrupted/cha_corrupted
ragdoll_profile	content/fac_illuminate/cha_corrupted/cha_corrupted_v2
ragdoll_profile	content/fac_illuminate/cha_corrupted/cha_corrupted_v3
ragdoll_profile	content/fac_illuminate/cha_exomech_melee/cha_exomech_melee
ragdoll_profile	content/fac_illuminate/cha_exomech_ranged/cha_exomech_ranged
ragdoll_profile	content/fac_illuminate/cha_illuminate_guy_staff/cha_illuminate_guy_staff
ragdoll_profile	content/fac_illuminate/cha_illuminate_guy_staff/cha_illuminate_guy_staff_fake
ragdoll_profile	content/fac_illuminate/cha_jet_champion/cha_jet_champion
ragdoll_profile	content/fac_illuminate/cha_meatglue/cha_meatglue
ragdoll_profile	content/fac_illuminate/cha_observer/cha_observer
ragdoll_profile	content/fac_illuminate/cha_tripod/cha_tripod
ragdoll_profile	content/fac_illuminate/vehicles/illuminate_attack_ship/illuminate_attack_ship
ragdoll_profile	content/fac_illuminate/vehicles/illuminate_war_machine/illuminate_war_machine
ragdoll_profile	content/fac_super_earth/cha_seaf/cha_seaf
render_config	core/stingray_renderer/light_baker/light_baker
render_config	core/stingray_renderer/tools/cubemap_filtering
render_config	rendering/renderer
renderable	core/renderables/light
shader_library	adapt_exposure
shader_library	atmosphere_present
shader_library	bake_compute
shader_library	baker_copy_material_component
shader_library	baker_material_downsample
shader_library	base
shader_library	base:diffuse_map
shader_library	base:vc_compressed:vc_tint_rgb
shader_library	bilateral_upsample
shader_library	blend_bloom
shader_library	blend_bloom_compute
shader_library	brdf_lut
shader_library	bright_pass
shader_library	bright_pass_compute
shader_library	bright_pass_debug
shader_library	calculate_coc
shader_library	clear_compute
shader_library	clear_dof
shader_library	clear_rt
shader_library	clear_wind
shader_library	clear_wounds
shader_library	cloud_apply_atmosphere
shader_library	cloud_filtering
shader_library	cloud_weather_new
shader_library	compute_delta
shader_library	compute_histogram
shader_library	copy
shader_library	copy:alpha_to_rgb
shader_library	copy:blend
shader_library	copy:blend_add
shader_library	copy:blend_one
shader_library	copy:cube_capture
shader_library	copy:cube_capture:encode_rgbm
shader_library	copy:depth_sampler
shader_library	copy:encode_rgbm
shader_library	copy:flip_x
shader_library	copy:flip_y
shader_library	copy:frac
shader_library	copy:keep_aspect
shader_library	copy:point_sampler
shader_library	copy:tone_map
shader_library	copy_alpha
shader_library	copy_depth
shader_library	copy_depth_compute
shader_library	copy_depth_quadrant
shader_library	copy_wind
shader_library	cubemap_blend
shader_library	debug_red
shader_library	debug_uv
shader_library	depth_of_field:ascending_diagonal_pass
shader_library	depth_of_field:descending_diagonal_pass
shader_library	depth_of_field:horizontal_pass
shader_library	depth_of_field:visualize
shader_library	display_histogram
shader_library	filter:downsample_2x2
shader_library	filter:downsample_4x4
shader_library	filter:downsample_mip
shader_library	filter:separable_bilinear_gaussian_5tap_x
shader_library	filter:separable_bilinear_gaussian_5tap_y
shader_library	filter_cubemap:diffuse
shader_library	filter_cubemap:radiance
shader_library	filter_cubemap:specular
shader_library	fxaa
shader_library	gbuffer_debug:albedo_visualization
shader_library	gbuffer_debug:ambient_diffuse_visualization
shader_library	gbuffer_debug:density_visualization
shader_library	gbuffer_debug:fill_untouched_pixels
shader_library	gbuffer_debug:metallic_visualization
shader_library	gbuffer_debug:normal_visualization
shader_library	gbuffer_debug:reconstructed_normal_visualization
shader_library	gbuffer_debug:ssao_visualization
shader_library	gbuffer_debug:sun_shadow_visualization
shader_library	gbuffer_debug:velocity_visualization
shader_library	global_lighting
shader_library	gui
shader_library	gui:
shader_library	gui:curved
shader_library	gui:depth_test_enabled
shader_library	gui:depth_test_enabled:diffuse_map
shader_library	gui:diffuse_map
shader_library	gui:diffuse_map:one_bit_alpha
shader_library	gui:layer_pre
shader_library	gui:layer_terminal
shader_library	gui:layer_video
shader_library	height_blend
shader_library	height_modify
shader_library	high_altitude_clouds
shader_library	hologram_filtering
shader_library	hud
shader_library	hud:curved
shader_library	hud:drop_shadows
shader_library	hud:layer_pre
shader_library	imp_bake
shader_library	imp_clear
shader_library	imp_debug
shader_library	imp_material_count
shader_library	imp_merge_transparency
shader_library	imp_override_transparency
shader_library	imp_weight_merge
shader_library	lens_effects
shader_library	light_source:box
shader_library	light_source:box:shadow_mapping
shader_library	light_source:omni
shader_library	light_source:omni:shadow_mapping
shader_library	light_source:spot
shader_library	light_source:spot:shadow_mapping
shader_library	lightmap_average
shader_library	lightmap_edge_dilate
shader_library	lightmap_filter
shader_library	line_object:
shader_library	line_object:depth_test_disabled
shader_library	linearize_depth
shader_library	mask_depth
shader_library	mb_bake_velocity_depth
shader_library	mb_neighbour_max
shader_library	mb_neighbour_max_compute
shader_library	mb_reconstruct_filter_blur
shader_library	mb_tile_max:horizontal_pass
shader_library	mb_tile_max:vertical_pass
shader_library	merge_skydome_motion_vectors
shader_library	mip_spd
shader_library	missing_billboard
shader_library	missing_shader
shader_library	path_tracing:debug_materials
shader_library	path_tracing:lightmap
shader_library	planet_atmosphere_space
shader_library	planet_processing
shader_library	project_water
shader_library	quantize_luma
shader_library	render_emblem
shader_library	road_blend
shader_library	road_blend_height
shader_library	see_alpha
shader_library	selection_effect
shader_library	selection_effect:lens_distort
shader_library	sharpen_filter
shader_library	ssr_hiz_pass
shader_library	ssr_hiz_pass:level_0
shader_library	ssr_hiz_pass_compute
shader_library	ssr_noisy_upsample
shader_library	ssr_ray_march_pass
shader_library	ssr_ray_march_pass:one_rpp
shader_library	sun_shadow_compute
shader_library	sun_shadow_cutter
shader_library	sun_shadow_mask
shader_library	sun_shadow_mask:fill
shader_library	sun_shadow_prepare
shader_library	temporal_aa_depth
shader_library	temporal_aa_depth_compute
shader_library	terrain_decoration
shader_library	terrain_editor_brush
shader_library	terrain_editor_brush:sample_based:box_filter
shader_library	terrain_editor_brush:sample_based:flatten
shader_library	terrain_editor_brush:sample_based:sample
shader_library	terrain_editor_brush:sample_height
shader_library	terrain_editor_brush:sub
shader_library	terrain_editor_brush_marker
shader_library	texture_overlay
shader_library	thumbnail_finalize
shader_library	tile_test
shader_library	update_wounds
shader_library	visualize_array_rt
shader_library	visualize_camo_customization
shader_library	visualize_camo_customization_preview
shader_library	visualize_cape_customization
shader_library	visualize_cape_customization_preview
shader_library	visualize_ids
shader_library	visualize_material_customization
shader_library	visualize_material_customization_preview
shader_library	visualize_pattern_customization
shader_library	visualize_pattern_customization_preview
shader_library	visualize_stable_depth
shader_library_group	core/stingray_renderer/shader_libraries/atmosphere
shader_library_group	core/stingray_renderer/shader_libraries/baker
shader_library_group	core/stingray_renderer/shader_libraries/baker_filtering
shader_library_group	core/stingray_renderer/shader_libraries/checkerboard_resolve
shader_library_group	core/stingray_renderer/shader_libraries/cubemap
shader_library_group	core/stingray_renderer/shader_libraries/default_shaders
shader_library_group	core/stingray_renderer/shader_libraries/development
shader_library_group	core/stingray_renderer/shader_libraries/fsr
shader_library_group	core/stingray_renderer/shader_libraries/fxaa
shader_library_group	core/stingray_renderer/shader_libraries/imp_utilities
shader_library_group	core/stingray_renderer/shader_libraries/lighting
shader_library_group	core/stingray_renderer/shader_libraries/missing_billboard
shader_library_group	core/stingray_renderer/shader_libraries/multi_res_blending
shader_library_group	core/stingray_renderer/shader_libraries/placeholders
shader_library_group	core/stingray_renderer/shader_libraries/post_processing
shader_library_group	core/stingray_renderer/shader_libraries/screen_space_global_illumination
shader_library_group	core/stingray_renderer/shader_libraries/screen_space_reflections
shader_library_group	core/stingray_renderer/shader_libraries/terrain_utilities
shader_library_group	core/stingray_renderer/shader_libraries/water
shader_library_group	rendering/shader_libraries/fog_volumes_filtering
shader_library_group	rendering/shader_libraries/fog_volumes_particles
shader_library_group	rendering/shader_libraries/hologram_filtering
shader_library_group	rendering/shader_libraries/imp
shader_library_group	rendering/shader_libraries/minimap
shader_library_group	rendering/shader_libraries/palette
shader_library_group	rendering/shader_libraries/planet_atmosphere_space
shader_library_group	rendering/shader_libraries/post_effects
shader_library_group	rendering/shader_libraries/sun_lens_flare
shader_library_group	rendering/shader_libraries/utilities
shader_library_group	rendering/shader_libraries/vegetation_bending
shader_library_group	rendering/shader_libraries/vista
shader_library_group	rendering/shader_libraries/volumetric_clouds
shader_library_group	rendering/shader_libraries/wounds
shading_environment	core/stingray_renderer/environments/midday/midday
shading_environment_mapping	core/stingray_renderer/shading_environment_components/asset_color_grading
shading_environment_mapping	core/stingray_renderer/shading_environment_components/atmosphere
shading_environment_mapping	core/stingray_renderer/shading_environment_components/auto_exposure
shading_environment_mapping	core/stingray_renderer/shading_environment_components/black_hole
shading_environment_mapping	core/stingray_renderer/shading_environment_components/bloom
shading_environment_mapping	core/stingray_renderer/shading_environment_components/camera_band_filter
shading_environment_mapping	core/stingray_renderer/shading_environment_components/cascaded_shadow_mapping
shading_environment_mapping	core/stingray_renderer/shading_environment_components/cloud_shadows
shading_environment_mapping	core/stingray_renderer/shading_environment_components/concussion
shading_environment_mapping	core/stingray_renderer/shading_environment_components/confusion
shading_environment_mapping	core/stingray_renderer/shading_environment_components/desaturate_highlight
shading_environment_mapping	core/stingray_renderer/shading_environment_components/directional_light_2
shading_environment_mapping	core/stingray_renderer/shading_environment_components/dof
shading_environment_mapping	core/stingray_renderer/shading_environment_components/dof_circular
shading_environment_mapping	core/stingray_renderer/shading_environment_components/exposure
shading_environment_mapping	core/stingray_renderer/shading_environment_components/far_scatter_control
shading_environment_mapping	core/stingray_renderer/shading_environment_components/film_grain
shading_environment_mapping	core/stingray_renderer/shading_environment_components/fog
shading_environment_mapping	core/stingray_renderer/shading_environment_components/global_lighting
shading_environment_mapping	core/stingray_renderer/shading_environment_components/global_utility
shading_environment_mapping	core/stingray_renderer/shading_environment_components/heathaze
shading_environment_mapping	core/stingray_renderer/shading_environment_components/heightmap_ao
shading_environment_mapping	core/stingray_renderer/shading_environment_components/hologram_drop_select_variables
shading_environment_mapping	core/stingray_renderer/shading_environment_components/hologram_variables
shading_environment_mapping	core/stingray_renderer/shading_environment_components/hud
shading_environment_mapping	core/stingray_renderer/shading_environment_components/lens_flares_global
shading_environment_mapping	core/stingray_renderer/shading_environment_components/lens_quality
shading_environment_mapping	core/stingray_renderer/shading_environment_components/mind_scramble
shading_environment_mapping	core/stingray_renderer/shading_environment_components/motion_blur
shading_environment_mapping	core/stingray_renderer/shading_environment_components/neuroperversion
shading_environment_mapping	core/stingray_renderer/shading_environment_components/parametric_color_grading
shading_environment_mapping	core/stingray_renderer/shading_environment_components/post_effects
shading_environment_mapping	core/stingray_renderer/shading_environment_components/render_utility
shading_environment_mapping	core/stingray_renderer/shading_environment_components/showroom_probe_override
shading_environment_mapping	core/stingray_renderer/shading_environment_components/snow_control
shading_environment_mapping	core/stingray_renderer/shading_environment_components/snow_resources
shading_environment_mapping	core/stingray_renderer/shading_environment_components/space_probe_backdrop
shading_environment_mapping	core/stingray_renderer/shading_environment_components/ssao
shading_environment_mapping	core/stingray_renderer/shading_environment_components/ssr
shading_environment_mapping	core/stingray_renderer/shading_environment_components/terrain_debug
shading_environment_mapping	core/stingray_renderer/shading_environment_components/vignette
shading_environment_mapping	core/stingray_renderer/shading_environment_components/volumetric_clouds
shading_environment_mapping	core/stingray_renderer/shading_environment_components/volumetric_clouds_dynamic
shading_environment_mapping	core/stingray_renderer/shading_environment_components/volumetric_clouds_lighting
shading_environment_mapping	core/stingray_renderer/shading_environment_components/volumetric_clouds_shadows
shading_environment_mapping	core/stingray_renderer/shading_environment_components/water_surface
shading_environment_mapping	core/stingray_renderer/shading_environment_components/weathering_resources
shading_environment_mapping	rendering/components/color_tint_indices
shading_environment_mapping	rendering/components/color_variation_0_base
shading_environment_mapping	rendering/components/color_variation_1_base
shading_environment_mapping	rendering/components/color_variation_2_base
shading_environment_mapping	rendering/components/color_variation_3_base
shading_environment_mapping	rendering/components/hologram_settings
shading_environment_mapping	rendering/components/level_generation_render_settings
shading_environment_mapping	rendering/components/map_generation_settings
shading_environment_mapping	rendering/components/planet_atmosphere
shading_environment_mapping	rendering/components/skybox_effect
shading_environment_mapping	rendering/components/terrain_deformation_settings
shading_environment_mapping	rendering/components/time_of_day_utility
